,business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,zip_code,totalIns
3025,66895,IZAKAYA YUZUKI,598 GUERRERO ST,San Francisco,CA,94110,37.761603,-122.423869,+14155569898,94110,1
3026,66896,LITE BITE,1796 UNION ST ,San Francisco,CA,94123,37.797978,-122.428754,+141593 5483,94123,3
3027,66900,LA ESPIGA DE ORO,2916 24TH ST ,San Francisco,CA,94110,37.752767999999996,-122.41039199999999,,94110,4
3028,66901,CAMP,4014 GEARY BLVD ,San Francisco,CA,94118,37.781197999999996,-122.462511,+14153796414,94118,1
3029,66902,PALIO PANINOTECA,"2565 03RD ST, # 307",San Francisco,CA,94107,37.757114,-122.388034,+14153626900,94107,2
3030,66925,DELI BOARD,1058 FOLSOM ST ,San Francisco,CA,94107,37.777504,-122.406948,+14155527687,94107,2
3031,66927,CAFFE MODA,160 07TH ST ,San Francisco,CA,94103,37.778468,-122.41002900000001,+14152550628,94103,2
3032,66932,TWO SISTERS BAR AND BOOKS,579 HAYES ST ,San Francisco,CA,94102,37.776503000000005,-122.425797,+14158633655,94102,0
3033,66934,SUBWAY SANDWICH,5 EMBARCADERO CENTER,San Francisco,CA,94111,37.794168,-122.39645700000001,+14159864622,94111,3
3034,66961,MI TIERRA MARKET,2023 MISSION ST ,San Francisco,CA,94110,37.764665,-122.41955800000001,+14154245319,94110,3
3035,66963,ZYNGA,699 08TH ST ,San Francisco,CA,94103,37.770384,-122.40429099999999,+14154454900,94103,1
3036,66972,AKIBA,3141 CLEMENT ST ,San Francisco,CA,94121,37.781585,-122.49279299999999,+14159901986,94121,1
3038,66985,PHO VIETNAM SAN FRANCISCO,1406 POLK ST ,San Francisco,CA,94109,37.78973,-122.420445,+14159211901,94109,3
3039,66988,PARK TAVERN,1652 STOCKTON ST ,San Francisco,CA,94133,37.801068,-122.40926699999999,+14159897300,94133,2
3040,66990,BAI SOM THAI KITCHEN,2121 CLEMENT ST ,San Francisco,CA,94121,37.782103,-122.48208899999999,+14157515332,94121,2
3041,66992,MIFUNE BISTRO,1581 WEBSTER ST #100,San Francisco,CA,94115,37.785227,-122.431472,+14154094959,94115,1
3042,66999,SUPER DUPER BURGERS,2201 CHESTNUT ST ,San Francisco,CA,94123,37.800344,-122.439697,,94123,2
3043,67043,JANG SOO BBQ,6314 GEARY BLVD ,San Francisco,CA,94121,37.780068,-122.487241,+14152218282,94121,3
3044,67049,SPECIALTY'S CAFE & BAKERY,500 HOWARD ST ,San Francisco,CA,94105,37.788294,-122.396419,+14153622052,94105,3
3045,67063,7-ELEVEN #2366-34977,527 SUTTER ST ,San Francisco,CA,94102,37.789118,-122.409048,+14158286511,94102,3
3046,67067,TUPELO,1337 GRANT AVE ,San Francisco,CA,94133,37.799293,-122.407334,+14152353904,94133,1
3047,67075,BEACHSIDE COFFEE BAR & KITCHEN,4300 JUDAH ST ,San Francisco,CA,94122,37.760338,-122.508241,+14156824961,94122,3
3048,67093,KATHERINE DELMAR BURKE SCHOOL,7070 CALIFORNIA ST ,San Francisco,CA,94121,37.783563,-122.49313400000001,+14157510180,94121,5
3050,67123,MOZZERIA,3228 16TH ST ,San Francisco,CA,94103,37.764758,-122.424872,+14158179549,94103,2
3052,67149,"SUSHI IN, LLC",2280 CHESTNUT ST ,San Francisco,CA,94123,37.800258,-122.440894,+14157558381,94123,3
3053,67154,RIVERSIDE SEAFOOD RESTAURANT,1201 VICENTE ST ,San Francisco,CA,94116,37.739065000000004,-122.47976899999999,+14157598828,94116,3
3054,67174,CYBERNET ENTERTAINMENT,1800 MISSION ST ,San Francisco,CA,94103,37.768168,-122.419995,+14158560772,94103,2
3055,67176,THE MELT,1 EMBARCADERO CENTER  ,San Francisco,CA,94111,37.794588,-122.39964199999999,+14157602199,94111,2
3056,67182,"ASANA, INC.",1550 BRYANT ST SUITE 150,San Francisco,CA,94103,37.767525,-122.41073700000001,+14155291427,94103,2
3057,67184,BIERGARTEN,424 OCTAVIA ST ,San Francisco,CA,94102,37.77601,-122.424175,,94102,2
3058,67186,ETCETERA WINE BAR,795 VALENCIA ST ,San Francisco,CA,94110,37.760294,-122.42138600000001,+141506 685d,94110,3
3059,67187,CHIPOTLE MEXICAN GRILL #1560,333 JEFFERSON ST #104,San Francisco,CA,94133,37.807922999999995,-122.41788700000001,+14155003533,94133,3
3060,67218,"WILLIAMS-SONOMA, INC.",100 NORTH POINT ST ,San Francisco,CA,94133,37.807127,-122.40946399999999,+14156168788,94133,2
3061,67235,STEINS,731 CLEMENT ST ,San Francisco,CA,94118,37.782784,-122.46715900000001,+14152213888,94118,2
3062,67237,LA JEFA,445 BAYSHORE BLVD ,San Francisco,CA,94107,37.749871,-122.405648,+14157139151,94107,3
3063,67246,SODEXO @ ACADEMY OF ART UNIVERSITY,625 POLK ST BASEMENT,San Francisco,CA,94102,37.782463,-122.419094,+14159314720,94102,2
3064,67250,SODEXO @ ACADEMY OF ART UNIVERSITY,625 POLK ST 1ST FLOOR,San Francisco,CA,94102,37.782463,-122.419094,+14159314720,94102,2
3066,67276,THE COW HOLLOW MARKET,3165 STEINER ST ,San Francisco,CA,94123,37.798624,-122.437525,+14156998928,94123,2
3067,67303,PINE & JONES MARKET,1100 PINE ST ,San Francisco,CA,94109,37.790468,-122.41409399999999,+14157765965,94109,4
3068,67330,SAN TUNG RESTAURANT LLC,1031 IRVING ST ,San Francisco,CA,94122,37.763891,-122.468805,+14152420828,94122,3
3069,67356,INDIGO RESTAURANT,687 MCALLISTER ST ,San Francisco,CA,94102,37.779674,-122.42330700000001,+14156739353,94102,1
3070,67357,UMAMI BURGER SF,2184 UNION ST ,San Francisco,CA,94123,37.797168,-122.435124,+14156604900,94123,3
3071,67359,LITE BITE,1956 LOMBARD ST ,San Francisco,CA,94123,37.800158,-122.43379399999999,+14153252273,94123,2
3072,67371,ROXIE MARKET & DELI,500 KIRKHAM ST ,San Francisco,CA,94122,37.760318,-122.466321,+14152781140,94122,0
